model,bin,median_gt_px,n,median_dice,mean_dice,mean_recall,mean_precision,zero_dice_n,zero_dice_rate,empty_pred_n
segformer_b5_teacher,D1,4071.0,19,0.7664185639229422,0.7781364443367854,0.8281475065060505,0.7636457555331474,0,0.0,0
segformer_b5_teacher,D2,5445.5,18,0.8766900762678648,0.8363345195228721,0.8089018319826748,0.8803473139465615,0,0.0,0
segformer_b5_teacher,D3,6686.0,19,0.8404532430320396,0.7737312714483422,0.7286495945309117,0.8491354083151442,0,0.0,0
segformer_b5_teacher,D4,8665.5,18,0.8562620319949434,0.8238494120735262,0.7773813392619272,0.89668131522594,0,0.0,0
segformer_b5_teacher,D5,10622.0,19,0.8611268914940866,0.7944756985250915,0.7432400993060501,0.8911532698588637,0,0.0,0
segformer_b5_teacher,D6,11957.5,18,0.8607422911694804,0.8095394429828462,0.7557402886828516,0.8937739581454723,0,0.0,0
segformer_b5_teacher,D7,13841.0,18,0.7641957568026609,0.7344154829515431,0.6555047829065794,0.8625617685398546,0,0.0,0
segformer_b5_teacher,D8,15506.0,19,0.8717574470908247,0.8257350896096315,0.7542234489060479,0.928561560437888,0,0.0,0
segformer_b5_teacher,D9,19152.0,18,0.7215337907531627,0.7383573658034215,0.6140454904919498,0.9710632001343598,0,0.0,0
segformer_b5_teacher,D10,31415.0,19,0.6347256347256347,0.6164131820274641,0.49903994711917987,0.9016619331892495,0,0.0,0
segformer_b2_teacher,D1,4071.0,19,0.8226030569708198,0.7227743398335867,0.8222978403775619,0.7156106406092464,0,0.0,0
segformer_b2_teacher,D2,5445.5,18,0.8242194888636682,0.7883230188216276,0.7291714377685732,0.8744784560706955,0,0.0,0
segformer_b2_teacher,D3,6686.0,19,0.8016517736257786,0.7405921131021328,0.694800175700894,0.8192031131252859,0,0.0,0
segformer_b2_teacher,D4,8665.5,18,0.8198754056471812,0.751532906433959,0.6892812803594787,0.8373371801895257,0,0.0,0
